INDEX,BATTING_2B,BATTING_3B,BATTING_HR,BATTING_BB,BATTING_SO,BASERUN_SB,PITCHING_H,PITCHING_HR,PITCHING_BB,PITCHING_SO,FIELDING_E,FIELDING_DP,BATTING_1B,BATTING_TB,WHGP,PITCHING_SO_BB,BATTING_BB_SO,BsR
9,170,33,83,447,1080,62,1209,83,447,1080,140,156,923,1694,10.22222222,2.416107383,0.413888889,477.6139547
10,151,29,88,516,929,54,1221,88,516,929,135,164,953,1694,10.72222222,1.800387597,0.555435953,499.2266895
14,183,29,93,509,816,59,1395,93,509,816,156,153,1090,1915,11.75308642,1.603143418,0.62377451,602.8860316
47,309,29,159,486,914,148,1539,159,486,914,124,154,1042,2383,12.5,1.880658436,0.531728665,779.5994195
60,203,68,5,95,416,NA,3902,14,257,1123,616,130,1169,1799,25.67283951,4.369649805,0.228365385,446.7038658
63,236,53,10,215,377,NA,2793,20,420,736,572,105,1132,1803,19.83333333,1.752380952,0.570291777,481.8734374
74,219,55,37,568,527,365,1544,40,613,569,490,NA,1119,1870,13.31481481,0.92822186,1.077798861,614.2446344
83,158,42,33,356,609,185,1626,39,418,715,328,104,1152,1726,12.61728395,1.710526316,0.58456486,492.6776046
98,177,78,23,466,689,150,1342,25,497,734,226,132,981,1661,11.35185185,1.476861167,0.676342525,476.8005848
120,212,42,58,452,584,52,1489,62,482,622,184,145,1085,1867,12.16666667,1.290456432,0.773972603,569.3194294
123,243,40,50,495,640,64,1501,53,521,673,200,183,1094,1900,12.48148148,1.291746641,0.7734375,600.1968878
135,239,55,164,462,670,48,1574,173,486,705,150,178,1038,2337,12.71604938,1.450617284,0.689552239,745.1641846
138,223,57,186,511,751,31,1494,196,538,790,137,167,954,2315,12.54320988,1.468401487,0.680426099,735.1161049
140,232,22,176,503,680,27,1536,185,529,715,125,160,1030,2264,12.74691358,1.351606805,0.739705882,728.2875758
151,195,22,141,485,665,59,1411,141,485,665,115,114,1053,2073,11.7037037,1.371134021,0.729323308,650.6596028
153,192,30,153,434,747,57,1434,153,434,747,146,180,1059,2145,11.5308642,1.721198157,0.580990629,662.5862135
171,204,22,130,491,1008,84,1313,132,497,1021,154,126,941,1935,11.17283951,2.054325956,0.487103175,583.7574704
184,284,25,166,565,1041,77,1464,168,572,1054,115,172,971,2278,12.56790123,1.842657343,0.542747358,748.6451071
193,162,52,17,383,NA,138,1351,18,406,NA,301,83,1045,1593,10.84567901,NA,NA,435.8385161
213,322,72,116,527,397,90,1816,123,558,420,232,174,1205,2529,14.65432099,0.752688172,1.327455919,897.9224249
217,295,68,49,628,459,77,1620,52,669,489,166,158,1108,2098,14.12962963,0.730941704,1.368191721,734.6703318
226,291,38,98,629,563,54,1702,104,670,600,155,174,1170,2258,14.64197531,0.895522388,1.11722913,809.5498165
230,256,67,105,653,651,40,1559,113,701,698,179,153,1025,2158,13.95061728,0.995720399,1.003072197,742.1339325
241,225,26,118,533,677,18,1450,124,561,712,160,174,1009,2009,12.41358025,1.26916221,0.787296898,636.6766956
291,277,24,152,431,902,89,1516,152,431,902,105,164,1063,2297,12.01851852,2.092807425,0.477827051,728.1995453
294,288,20,164,474,878,121,1556,164,474,878,102,156,1084,2376,12.5308642,1.852320675,0.539863326,778.7249629
300,183,28,3,83,0,NA,5167,10,286,0,1224,NA,1285,1747,33.66049383,0,Inf,441.4038278
348,263,58,47,385,479,63,1540,49,405,504,232,146,1096,1984,12.00617284,1.244444444,0.803757829,600.2119479
350,318,66,32,634,439,83,1639,34,667,462,218,130,1142,2104,14.2345679,0.692653673,1.444191344,751.1265879
357,308,36,39,432,602,45,1601,42,460,642,199,135,1119,1999,12.72222222,1.395652174,0.717607973,630.5195222
367,320,58,130,718,596,70,1679,137,755,627,178,146,1088,2422,15.02469136,0.830463576,1.204697987,894.5903236
