TARGET_WINS,BATTING_2B,BATTING_3B,BATTING_HR,BATTING_BB,BATTING_SO,BASERUN_SB,PITCHING_H,PITCHING_HR,PITCHING_BB,PITCHING_SO,FIELDING_E,FIELDING_DP,BATTING_1B,BATTING_TB,WHGP,PITCHING_SO_BB,BATTING_BB_SO,BsR
70,219,22,190,685,1075,37,1347,191,689,1082,193,155,908,2172,12.56790123,1.570391872,0.637209302,728.303272
86,232,35,137,602,917,46,1377,137,602,917,175,153,973,2090,12.21604938,1.523255814,0.65648855,683.9653354
70,209,38,96,451,922,43,1396,97,454,928,164,156,1044,1960,11.41975309,2.044052863,0.489154013,597.2320962
82,186,27,102,472,920,49,1297,102,472,920,138,168,982,1843,10.91975309,1.949152542,0.513043478,548.4085891
75,200,36,92,443,973,107,1279,92,443,973,123,149,951,1827,10.62962963,2.196388262,0.455292909,530.3630679
80,179,54,122,525,1062,80,1244,122,525,1062,136,186,889,1897,10.91975309,2.022857143,0.494350282,569.9785356
85,171,37,115,456,1027,40,1281,116,459,1033,112,136,950,1863,10.74074074,2.250544662,0.444011685,545.8261148
86,197,40,114,447,922,69,1391,114,447,922,127,169,1040,2010,11.34567901,2.062639821,0.484815618,613.1778429
76,213,18,96,441,827,72,1271,96,441,827,131,159,944,1808,10.56790123,1.875283447,0.533252721,523.045353
78,179,27,82,374,888,60,1364,86,391,928,119,141,1017,1784,10.83333333,2.373401535,0.421171171,502.6419136
68,203,31,95,509,801,119,1372,95,509,801,147,150,1043,1922,11.61111111,1.57367387,0.63545568,599.7929398
72,196,41,55,597,816,221,1340,55,601,821,185,165,1040,1775,11.98148148,1.366056572,0.731617647,568.7050293
76,210,23,63,534,812,126,1265,63,534,812,150,139,969,1710,11.10493827,1.520599251,0.657635468,515.6677328
74,233,40,131,542,880,159,1380,131,542,880,147,137,976,2086,11.86419753,1.623616236,0.615909091,664.0699446
87,226,28,108,539,682,86,1417,108,539,682,136,136,1055,2023,12.07407407,1.265306122,0.790322581,652.1573742
88,242,43,164,589,843,100,1563,164,589,843,135,172,1114,2383,13.28395062,1.431239389,0.698695136,823.5227077
